Brand,Operating System,Processor,RAM Type,RAM Size,Disc Type,Disc Size,Price
Lenovo,MAC ,AMD Ryzen 3 Dual Core,DDR4,8 GB,SSD,512 GB,34990
Lenovo,Windows 11,Intel Core i3,DDR4,8 GB,SSD,512 GB,39990
RedmiBook,MAC ,Intel Core i5,DDR4,8 GB,SSD,512 GB,39990
ASUS,Windows 10,Intel Core i7,LPDDR4X,16 GB,SSD,1 TB,94990
Lenovo,Windows 11,Intel Core i5,DDR4,8 GB,SSD,512 GB,69990
ASUS,Windows 11,Intel Core i5,DDR4,8 GB,SSD,512 GB,59990
ASUS,Windows 11,Intel Core i5,DDR4,16 GB,SSD,512 GB,66990
ASUS,MAC ,AMD Ryzen 9 Octa Core,DDR5,16 GB,SSD,1 TB,196990
Lenovo,Windows 11,AMD Ryzen 5 Quad Core,DDR4,8 GB,SSD,512 GB,38705
ASUS,Windows 11,Intel Core i7,LPDDR4X,16 GB,SSD,512 GB,104990
DELL,Windows 11,Intel Core i3,DDR4,8 GB,SSD,256 GB,54900
ASUS,MAC ,AMD Ryzen 7 Octa Core,DDR4,16 GB,SSD,1 TB,85990
Lenovo,Windows 11,AMD Ryzen 3 Dual Core,DDR4,8 GB,SSD,512 GB,35590
Lenovo,Windows 11,AMD Ryzen 7 Octa Core,DDR4,16 GB,SSD,1 TB,136990
DELL,Windows 11,AMD Ryzen 5-3450U,DDR4,8 GB,SSD,512 GB,48184
ASUS,Windows 11,Intel Core i5,DDR4,16 GB,SSD,512 GB,74990
Acer,Windows 11,Intel Core i5,DDR4,8 GB,SSD,512 GB,60990
ASUS,MAC ,AMD Ryzen 9 Octa Core,DDR4,16 GB,SSD,1 TB,150990
Lenovo,Windows 11,Intel Core i3,DDR4,8 GB,SSD,256 GB,36990
HP,Windows 11,AMD Ryzen 5 Hexa Core,DDR4,8 GB,SSD,512 GB,49990
DELL,Windows 11,Intel Core i5,DDR4,8 GB,SSD,512 GB,67990
ASUS,Windows 11,AMD Ryzen 9 Octa Core,DDR5,16 GB,SSD,1 TB,194990
Lenovo,Windows 11,AMD Ryzen 5 Hexa Core,DDR4,8 GB,SSD,512 GB,44990
Lenovo,Windows 10,Intel Core i5,DDR4,8 GB,SSD,512 GB,58000
Infinix,Windows 11,Intel Core i3,LPDDR4X,8 GB,SSD,256 GB,29990
ASUS,Windows 11,AMD Ryzen 7 Octa Core,LPDDR5,16 GB,SSD,1 TB,114990
HP,Windows 11,AMD Ryzen 3 Dual Core,DDR4,8 GB,SSD,512 GB,33990
RedmiBook,MAC ,Intel Core i5,DDR4,8 GB,SSD,512 GB,39990
ASUS,MAC ,AMD Ryzen 9 Octa Core,DDR5,16 GB,SSD,1 TB,196990
ASUS,Windows 11,AMD Ryzen 5 Hexa Core,DDR4,16 GB,SSD,512 GB,64990
Lenovo,Windows 11,Intel Core i5,DDR4,16 GB,SSD,512 GB,79990
Lenovo,Windows 11,AMD Ryzen 5 Quad Core,DDR4,8 GB,SSD,512 GB,38705
ASUS,MAC ,AMD Ryzen 7 Octa Core,DDR4,16 GB,SSD,1 TB,85990
Infinix,Windows 11,Intel Core i3,LPDDR4X,8 GB,SSD,256 GB,28990
ASUS,MAC ,AMD Ryzen 5 Dual Core,DDR4,8 GB,SSD,512 GB,56990
HP,Windows 11,AMD Ryzen 5 Hexa Core,DDR4,16 GB,SSD,512 GB,81990
MSI,Windows 10,Intel Core i7,DDR4,16 GB,SSD,1 TB,129990
Lenovo,Windows 11,AMD Ryzen 3 Dual Core,DDR4,8 GB,SSD,512 GB,35590
ASUS,MAC ,AMD Ryzen 9 Octa Core,DDR4,16 GB,SSD,1 TB,150990
DELL,Windows 10,AMD Ryzen 3 Dual Core,DDR4,8 GB,HDD,1 TB,38990
HP,Windows 10,AMD Ryzen 7 Octa Core,DDR4,16 GB,HDD,1 TB,79990
Lenovo,Windows 11,Intel Core i3,DDR4,8 GB,SSD,256 GB,36990
Lenovo,Windows 11,Intel Core i3,DDR4,8 GB,SSD,512 GB,39990
APPLE,MAC ,Apple M2,Unified Memory,8 GB,SSD,512 GB,139990
ASUS,Windows 11,Intel Core i7,DDR5,16 GB,SSD,1 TB,109990
ASUS,MAC ,AMD Ryzen 9 Octa Core,DDR5,16 GB,SSD,1 TB,154990
Lenovo,Windows 11,Intel Core i5,DDR4,16 GB,SSD,512 GB,62990
ASUS,Windows 11,AMD Ryzen 9 Octa Core,DDR5,16 GB,SSD,1 TB,194990
Lenovo,Windows 11,AMD Ryzen 5 Hexa Core,DDR4,8 GB,SSD,512 GB,44990
ASUS,MAC ,Intel Core i3,DDR4,8 GB,SSD,512 GB,47990
DELL,Windows 11,AMD Ryzen 3 Quad Core,DDR4,8 GB,SSD,512 GB,43667
ASUS,MAC ,AMD Ryzen 7 Octa Core,DDR5,16 GB,SSD,1 TB,135990
Lenovo,Windows 11,Intel Core i3,DDR4,8 GB,SSD,256 GB,36990
ASUS,Windows 11,AMD Ryzen 7 Octa Core,DDR5,16 GB,SSD,512 GB,98990
Infinix,Windows 11,Intel Core i7,LPDDR4X,16 GB,SSD,512 GB,46990
ASUS,Windows 11,Intel Core i3,DDR4,8 GB,SSD,256 GB,35990
Lenovo,Windows 11,Intel Core i3,DDR4,8 GB,SSD,512 GB,39990
ASUS,Windows 11,Intel Core i7,DDR5,16 GB,SSD,1 TB,109990
APPLE,MAC ,Apple M2,Unified Memory,8 GB,SSD,512 GB,139990
DELL,Windows 11,Intel Core i5,DDR4,8 GB,SSD,512 GB,74770
RedmiBook,MAC ,Intel Core i5,DDR4,8 GB,SSD,512 GB,39990
HP,Windows 11,AMD Ryzen 3 Quad Core,DDR4,8 GB,SSD,512 GB,40799
ASUS,Windows 10,Intel Core i5,DDR4,16 GB,SSD,512 GB,69490
ASUS,Windows 11,Intel Core i3,DDR4,8 GB,SSD,512 GB,39990
Lenovo,Windows 11,AMD Ryzen 5 Quad Core,DDR4,8 GB,SSD,512 GB,38705
ASUS,MAC ,AMD Ryzen 5 Hexa Core,LPDDR5,16 GB,SSD,512 GB,99990
APPLE,MAC ,Apple M1 Pro,Unified Memory,16 GB,SSD,1 TB,241990
Acer,Windows 11,Intel Core i5,DDR4,8 GB,SSD,512 GB,40990
ASUS,MAC ,AMD Ryzen 9 Octa Core,DDR5,16 GB,SSD,1 TB,196990
HP,Windows 10,Intel Core i5,DDR4,8 GB,SSD,512 GB,60390
HP,Windows 10,Intel Core i5,DDR4,8 GB,HDD,1 TB,69990
ASUS,Windows 11,Intel Core i3,DDR4,8 GB,SSD,256 GB,44990
ASUS,MAC ,AMD Ryzen 7 Octa Core,DDR4,16 GB,SSD,1 TB,85990
ASUS,MAC ,Intel Core i5,DDR4,8 GB,SSD,256 GB,44990
HP,Windows 10,Intel Core i5,DDR4,8 GB,SSD,512 GB,60390
ASUS,Windows 10,Intel Core i5,DDR4,16 GB,SSD,512 GB,69490
HP,Windows 11,AMD Ryzen 3 Quad Core,DDR4,8 GB,SSD,512 GB,40799
Lenovo,Windows 11,Intel Core i3,DDR4,8 GB,SSD,512 GB,39990
RedmiBook,MAC ,Intel Core i5,DDR4,8 GB,SSD,512 GB,39990
HP,Windows 11,AMD Ryzen 5 Hexa Core,DDR4,16 GB,SSD,512 GB,55990
Lenovo,Windows 11,Intel Core i5,LPDDR4X,16 GB,SSD,512 GB,74990
ASUS,MAC ,AMD Ryzen 9 Octa Core,DDR5,16 GB,SSD,1 TB,196990
Lenovo,Windows 11,AMD Ryzen 5 Quad Core,DDR4,8 GB,SSD,512 GB,38705
HP,Windows 10,Intel Core i5,DDR4,8 GB,HDD,1 TB,69990
ASUS,Windows 11,Intel Core i3,DDR4,8 GB,SSD,256 GB,44990
ASUS,Windows 11,Intel Core i5,DDR4,8 GB,SSD,1 TB,59990
APPLE,MAC ,Apple M1 Pro,Unified Memory,16 GB,SSD,512 GB,222990
ASUS,MAC ,AMD Ryzen 7 Octa Core,DDR4,16 GB,SSD,1 TB,85990
Lenovo,Windows 11,AMD Ryzen 3 Dual Core,DDR4,8 GB,SSD,512 GB,35590
DELL,Windows 11,Intel Core i5,DDR4,8 GB,SSD,512 GB,74770
ASUS,Windows 11,Intel Core i7,DDR5,16 GB,SSD,1 TB,109990
ASUS,MAC ,AMD Ryzen 9 Octa Core,DDR4,16 GB,SSD,1 TB,150990
Lenovo,Windows 11,Intel Core i3,DDR4,8 GB,SSD,256 GB,36990
Acer,Windows 11,AMD Ryzen 5 Hexa Core,DDR4,8 GB,SSD,512 GB,62990
Acer,Windows 11,Intel Core i5,DDR4,8 GB,SSD,512 GB,40990
MSI,Windows 10,Intel Core i5,DDR4,8 GB,SSD,512 GB,58499
Lenovo,Windows 10,Intel Core i5,DDR4,8 GB,HDD,1 TB,65990
Lenovo,Windows 11,Intel Core i3,DDR4,8 GB,SSD,256 GB,36990
RedmiBook,MAC ,Intel Core i5,DDR4,8 GB,SSD,512 GB,39990
DELL,Windows 11,Intel Core i7,DDR5,16 GB,SSD,512 GB,111990
Lenovo,Windows 11,Intel Core i5,DDR4,16 GB,SSD,512 GB,68490
ASUS,MAC ,AMD Ryzen 9 Octa Core,DDR5,16 GB,SSD,1 TB,196990
Lenovo,Windows 11,AMD Ryzen 5 Quad Core,DDR4,8 GB,SSD,512 GB,38705
Infinix,Windows 11,Intel Core i7,LPDDR4X,16 GB,SSD,512 GB,46990
ASUS,Windows 10,Intel Core i5,DDR4,8 GB,HDD,1 TB,83990
Acer,Windows 11,Intel Core i5,DDR4,8 GB,SSD,512 GB,54990
ASUS,MAC ,Intel Celeron Dual Core,LPDDR4,4 GB,SSD,512 GB,14990
ASUS,MAC ,AMD Ryzen 7 Octa Core,DDR4,16 GB,EMMC,32 GB,85990
Lenovo,Windows 11,AMD Ryzen 3 Dual Core,DDR4,8 GB,SSD,512 GB,35590
APPLE,MAC ,Apple M1,DDR4,8 GB,SSD,1 TB,149990
DELL,Windows 10,Intel Core i5,DDR4,8 GB,SSD,512 GB,63090
ASUS,MAC ,AMD Ryzen 9 Octa Core,DDR4,16 GB,SSD,1 TB,150990
Lenovo,Windows 11,Intel Core i3,DDR4,8 GB,SSD,512 GB,39990
MSI,Windows 11,Intel Core i7,DDR5,16 GB,SSD,1 TB,200000
Lenovo,Windows 11,Intel Core i3,DDR4,8 GB,SSD,256 GB,37390
ASUS,MAC ,Intel Core i5,LPDDR4X,8 GB,SSD,512 GB,63990
DELL,Windows 10,Intel Core i3,DDR4,8 GB,SSD,512 GB,43090
ASUS,Windows 11,AMD Ryzen 9 Octa Core,DDR5,16 GB,SSD,1 TB,194990
Lenovo,Windows 11,AMD Ryzen 5 Hexa Core,DDR4,8 GB,SSD,512 GB,44990
Lenovo,Windows 10,Intel Core i3,DDR4,4 GB,SSD,256 GB,44700
HP,Windows 10,Intel Core i3,DDR4,8 GB,SSD,256 GB,41150
Lenovo,Windows 11,Intel Core i3,DDR4,8 GB,SSD,256 GB,36990
Lenovo,Windows 11,Intel Core i3,DDR4,8 GB,SSD,512 GB,39990
ASUS,MAC ,AMD Ryzen 3 Dual Core,DDR4,8 GB,SSD,256 GB,33990
MSI,Windows 11,Intel Core i7,DDR5,16 GB,SSD,1 TB,190890
ASUS,Windows 11,Intel Core i9,LPDDR5,16 GB,SSD,1 TB,174990
HP,Windows 11,AMD Ryzen 7 Octa Core,DDR4,16 GB,SSD,1 TB,118990
RedmiBook,MAC ,Intel Core i5,DDR4,8 GB,SSD,512 GB,39990
ASUS,MAC ,AMD Ryzen 9 Octa Core,DDR5,16 GB,SSD,1 TB,196990
ASUS,Windows 11,Intel Core i5,DDR4,16 GB,SSD,512 GB,63980
Acer,Windows 11,AMD Ryzen 5 Hexa Core,DDR4,8 GB,SSD,512 GB,54300
Lenovo,Windows 11,AMD Ryzen 5 Quad Core,DDR4,8 GB,SSD,512 GB,38705
ASUS,MAC ,AMD Ryzen 7 Octa Core,DDR4,16 GB,SSD,1 TB,85990
DELL,Windows 11,AMD Ryzen 3 Dual Core,DDR4,8 GB,SSD,256 GB,36400
ASUS,Windows 10,Intel Core i3,DDR4,4 GB,SSD,256 GB,28590
DELL,MAC ,AMD Ryzen 5 Hexa Core,DDR4,16 GB,SSD,512 GB,69999
ASUS,Windows 11,Intel Core i9,DDR5,32 GB,SSD,1 TB,301990
Lenovo,Windows 11,AMD Ryzen 3 Dual Core,DDR4,8 GB,SSD,512 GB,35590
ASUS,MAC ,AMD Ryzen 9 Octa Core,DDR4,16 GB,SSD,1 TB,150990
Lenovo,MAC ,Intel Core i3,DDR4,8 GB,SSD,256 GB,37000
Lenovo,Windows 10,Intel Core i5,DDR4,16 GB,SSD,512 GB,64990
Lenovo,Windows 11,AMD Ryzen 7 Octa Core,DDR4,8 GB,SSD,512 GB,73490
ASUS,Windows 11,AMD Ryzen 9 Octa Core,DDR5,16 GB,SSD,1 TB,194990
DELL,Windows 11,Intel Core i3,DDR4,8 GB,SSD,256 GB,42690
ASUS,MAC ,AMD Ryzen 7 Octa Core,DDR5,16 GB,SSD,1 TB,140990
Lenovo,Windows 10,Intel Core i3,DDR4,4 GB,SSD,256 GB,38990
HP,Windows 11,Intel Core i7,LPDDR4X,16 GB,SSD,512 GB,128990
Acer,Windows 11,Intel Core i3,DDR4,8 GB,SSD,512 GB,54999
Lenovo,Windows 11,Intel Core i3,DDR4,8 GB,SSD,256 GB,36990
Acer,Windows 10,Intel Core i5,DDR4,8 GB,HDD,1 TB,60130
Acer,Windows 11,Intel Pentium Silver,DDR4,8 GB,SSD,256 GB,29490
DELL,Windows 11,Intel Core i5,DDR4,8 GB,SSD,512 GB,72490
Lenovo,Windows 11,Intel Core i3,DDR4,8 GB,SSD,512 GB,39990
GIGABYTE,Windows 11,Intel Core i5,DDR4,16 GB,SSD,512 GB,73990
Acer,Windows 10,Intel Core i5,DDR4,8 GB,HDD,1 TB,47130
Lenovo,Windows 10,AMD Ryzen 7 Octa Core,DDR4,8 GB,SSD,512 GB,55600
RedmiBook,MAC ,Intel Core i5,DDR4,8 GB,SSD,512 GB,39990
DELL,Windows 10,AMD Ryzen 5 Quad Core,DDR4,8 GB,SSD,512 GB,49690
ASUS,Windows 11,Intel Core i7,DDR5,32 GB,SSD,1 TB,239990
MSI,Windows 10,Intel Core i5,DDR4,16 GB,SSD,512 GB,73990
Lenovo,Windows 11,AMD Ryzen 5 Quad Core,DDR4,8 GB,SSD,512 GB,38705
HP,Windows 10,AMD Ryzen 5 Hexa Core,DDR4,8 GB,SSD,512 GB,52490
HP,MAC ,Intel Core i3,DDR4,8 GB,SSD,512 GB,41990
ASUS,Windows 11,Intel Pentium Quad Core,DDR4,8 GB,SSD,256 GB,29990
ASUS,MAC ,AMD Ryzen 9 Octa Core,DDR5,16 GB,SSD,1 TB,196990
Nokia,Windows 10,Intel Core i5,DDR4,8 GB,SSD,512 GB,50490
Acer,Windows 10,Intel Core i7,DDR4,16 GB,HDD,1 TB,96490
Infinix,Windows 11,Intel Core i5,LPDDR4X,16 GB,SSD,512 GB,37990
ASUS,MAC ,AMD Ryzen 7 Octa Core,DDR4,16 GB,SSD,1 TB,85990
MSI,Windows 10,Intel Core i5,LPDDR4X,16 GB,SSD,512 GB,74990
ASUS,Windows 10,Intel Core i5,DDR4,8 GB,SSD,512 GB,51990
Lenovo,Windows 11,Intel Core i3,DDR4,8 GB,SSD,256 GB,36990
Lenovo,Windows 11,Intel Core i3,DDR4,8 GB,SSD,512 GB,39990
ASUS,Windows 10,AMD Ryzen 5 Hexa Core,DDR4,8 GB,HDD,1 TB,71345
ASUS,Windows 10,Intel Core i7,DDR4,16 GB,SSD,1 TB,101490
MSI,Windows 11,Intel Core i7,DDR5,32 GB,SSD,1 TB,274990
ASUS,Windows 11,AMD Ryzen 9 Octa Core,DDR5,16 GB,SSD,1 TB,199990
RedmiBook,MAC ,Intel Core i5,DDR4,8 GB,SSD,512 GB,39990
ASUS,MAC ,AMD Ryzen 9 Octa Core,DDR5,16 GB,SSD,1 TB,196990
DELL,Windows 10,Intel Core i3,DDR4,8 GB,SSD,256 GB,41090
Lenovo,Windows 10,Intel Core i5,DDR4,8 GB,SSD,256 GB,50499
Lenovo,Windows 11,AMD Ryzen 5 Quad Core,DDR4,8 GB,SSD,512 GB,38705
ASUS,MAC ,AMD Ryzen 7 Octa Core,DDR4,16 GB,SSD,1 TB,85990
HP,Windows 11,AMD Ryzen 7 Octa Core,DDR4,8 GB,SSD,512 GB,78950
Lenovo,Windows 11,AMD Ryzen 5 Hexa Core,LPDDR4X,16 GB,SSD,512 GB,67990
ASUS,Windows 11,AMD Ryzen 9 Octa Core,DDR4,16 GB,SSD,1 TB,187990
Lenovo,Windows 10,Intel Core i7,DDR4,16 GB,SSD,1 TB,102990
Lenovo,Windows 11,AMD Ryzen 3 Dual Core,DDR4,8 GB,SSD,512 GB,35590
ASUS,MAC ,AMD Ryzen 9 Octa Core,DDR4,16 GB,SSD,1 TB,150990
ASUS,DOS,Intel Core i3,DDR4,4 GB,SSD,256 GB,35990
HP,Windows 10,AMD Ryzen 5 Quad Core,DDR4,8 GB,SSD,512 GB,52575
Lenovo,Windows 11,AMD Ryzen 7 Octa Core,DDR4,8 GB,SSD,512 GB,73490
ASUS,Windows 11,AMD Ryzen 9 Octa Core,DDR5,16 GB,SSD,1 TB,194990
DELL,Windows 11,AMD Ryzen 5 Quad Core,DDR4,8 GB,SSD,512 GB,50990
Lenovo,MAC ,Intel Core i5,DDR4,16 GB,SSD,512 GB,60125
Lenovo,Windows 10,Intel Celeron Dual Core,DDR4,4 GB,SSD,256 GB,26490
HP,Windows 11,AMD Ryzen 7 Octa Core,DDR4,8 GB,SSD,512 GB,80249
Lenovo,Windows 11,Intel Core i3,DDR4,8 GB,SSD,256 GB,36990
Lenovo,Windows 11,Intel Core i3,DDR4,8 GB,SSD,512 GB,39990
ASUS,Windows 10,AMD Ryzen 7 Octa Core,DDR4,8 GB,SSD,1 TB,76990
RedmiBook,MAC ,Intel Core i5,DDR4,8 GB,SSD,512 GB,39990
ASUS,MAC ,AMD Ryzen 9 Octa Core,DDR5,16 GB,SSD,1 TB,196990
ASUS,Windows 10,Intel Core i3,DDR4,8 GB,SSD,512 GB,36990
MSI,Windows 10,Intel Core i7,DDR4,16 GB,SSD,512 GB,107790
DELL,Windows 11,Intel Core i5,DDR4,16 GB,SSD,512 GB,75990
ASUS,Windows 10,Intel Core i5,LPDDR4X,16 GB,SSD,512 GB,95990
Lenovo,Windows 11,AMD Ryzen 5 Quad Core,DDR4,8 GB,SSD,512 GB,38705
ASUS,MAC ,AMD Ryzen 7 Octa Core,DDR4,16 GB,SSD,1 TB,85990
Acer,Windows 11,Intel Core i5,DDR4,8 GB,SSD,512 GB,61999
HP,Windows 11,Intel Celeron Dual Core,DDR4,8 GB,SSD,256 GB,28990
Lenovo,Windows 11,AMD Ryzen 3 Dual Core,DDR4,8 GB,SSD,512 GB,35590
ASUS,MAC ,AMD Ryzen 9 Octa Core,DDR4,16 GB,SSD,1 TB,150990
Lenovo,Windows 10,Intel Core i5,DDR4,8 GB,SSD,512 GB,54990
ASUS,MAC ,Intel Core i7,DDR4,16 GB,SSD,512 GB,56990
ASUS,MAC ,Intel Core i5,DDR4,8 GB,SSD,256 GB,45990
ASUS,Windows 11,Intel Core i3,DDR4,8 GB,SSD,512 GB,38216
Lenovo,Windows 11,Intel Core i3,DDR4,8 GB,SSD,256 GB,36990
Lenovo,Windows 11,Intel Core i3,DDR4,8 GB,SSD,512 GB,39990
MSI,Windows 11,Intel Core i7,DDR4,8 GB,SSD,512 GB,79990
DELL,MAC ,Intel Core i3,DDR4,4 GB,HDD,1 TB,43990
RedmiBook,MAC ,Intel Core i5,DDR4,8 GB,SSD,512 GB,39990
ASUS,MAC ,AMD Ryzen 9 Octa Core,DDR5,16 GB,SSD,1 TB,196990
HP,Windows 11,AMD Ryzen 7 Octa Core,DDR4,16 GB,SSD,1 TB,108250
ASUS,Windows 10,Intel Core i3,DDR4,4 GB,HDD,1 TB,28990
MSI,Windows 11,Intel Core i9,DDR5,32 GB,SSD,2 TB,389990
DELL,Windows 11,Intel Core i5,DDR4,16 GB,SSD,512 GB,67224
Lenovo,Windows 11,AMD Ryzen 5 Quad Core,DDR4,8 GB,SSD,512 GB,38705
ASUS,MAC ,AMD Ryzen 7 Octa Core,DDR4,16 GB,SSD,1 TB,85990
Acer,Windows 10,AMD Ryzen 7 Octa Core,DDR4,16 GB,HDD,1 TB,114990
ASUS,Windows 10,Intel Core i5,DDR4,4 GB,HDD,1 TB,61249
Lenovo,Windows 11,AMD Ryzen 3 Dual Core,DDR4,8 GB,SSD,512 GB,35590
ASUS,MAC ,AMD Ryzen 9 Octa Core,DDR4,16 GB,SSD,1 TB,150990
HP,Windows 11,Intel Core i5,DDR4,16 GB,SSD,512 GB,69990
Lenovo,DOS,AMD Ryzen 5 Hexa Core,DDR4,8 GB,SSD,512 GB,69990
Lenovo,Windows 11,Intel Core i5,DDR4,16 GB,SSD,512 GB,79990
Lenovo,Windows 10,AMD Ryzen 3 Dual Core,DDR4,8 GB,SSD,256 GB,37990
Lenovo,Windows 11,AMD Ryzen 7 Octa Core,DDR4,8 GB,SSD,512 GB,73490
ASUS,Windows 11,AMD Ryzen 9 Octa Core,DDR5,16 GB,SSD,1 TB,194990
Infinix,Windows 11,Intel Core i5,LPDDR4X,8 GB,SSD,512 GB,36990
ASUS,Windows 11,Intel Celeron Dual Core,DDR4,4 GB,SSD,128 GB,29980
