Brand,Operating System,Processor,RAM Type,RAM Size,Disc Type,Disc Size,Price
Lenovo,Windows 11,Intel Core i3,DDR4,8 GB,SSD,256 GB,36990
RedmiBook,MAC ,Intel Core i5,DDR4,8 GB,SSD,512 GB,39990
ASUS,Windows 10,Intel Core i5,LPDDR4X,16 GB,SSD,512 GB,95990
DELL,Windows 11,AMD Ryzen 3 Dual Core,DDR4,8 GB,SSD,512 GB,41600
DELL,Windows 11,Intel Core i5,DDR4,16 GB,SSD,512 GB,67224
ASUS,Windows 11,Intel Core i5,DDR4,8 GB,SSD,512 GB,61986
ASUS,MAC ,AMD Ryzen 9 Octa Core,DDR5,16 GB,SSD,1 TB,196990
Lenovo,Windows 11,AMD Ryzen 5 Quad Core,DDR4,8 GB,SSD,512 GB,38705
ASUS,Windows 10,Intel Core i5,DDR4,4 GB,HDD,1 TB,61249
HP,Windows 11,AMD Ryzen 3 Dual Core,DDR4,8 GB,SSD,256 GB,38999
ASUS,MAC ,AMD Ryzen 7 Octa Core,DDR4,16 GB,SSD,1 TB,85990
Lenovo,Windows 11,AMD Ryzen 3 Dual Core,DDR4,8 GB,SSD,512 GB,35590
Lenovo,MAC ,Intel Core i3,DDR4,4 GB,SSD,256 GB,31990
Lenovo,Windows 10,AMD Ryzen 3 Dual Core,DDR4,8 GB,SSD,256 GB,37990
ASUS,Windows 11,Intel Celeron Dual Core,DDR4,4 GB,SSD,128 GB,29980
ASUS,Windows 11,Intel Core i5,DDR4,8 GB,SSD,512 GB,46990
ASUS,MAC ,AMD Ryzen 9 Octa Core,DDR4,16 GB,SSD,1 TB,150990
Lenovo,Windows 11,AMD Ryzen 7 Octa Core,DDR4,8 GB,SSD,512 GB,73490
Infinix,Windows 11,Intel Core i5,LPDDR4X,8 GB,SSD,512 GB,37990
Infinix,Windows 11,Intel Core i5,LPDDR4X,8 GB,SSD,512 GB,36990
Lenovo,Windows 11,Intel Core i3,DDR4,8 GB,SSD,512 GB,39990
ASUS,Windows 11,AMD Ryzen 9 Octa Core,DDR5,16 GB,SSD,1 TB,194990
Acer,Windows 10,AMD Ryzen 5 Hexa Core,DDR4,8 GB,HDD,1 TB,61490
HP,Windows 10,AMD Ryzen 7 Octa Core,DDR4,16 GB,SSD,1 TB,109990
HP,Windows 11,AMD Ryzen 5 Hexa Core,DDR4,8 GB,SSD,512 GB,54990
Lenovo,Windows 10,AMD Ryzen 5 Hexa Core,DDR4,8 GB,SSD,512 GB,50990
Lenovo,Windows 11,Intel Core i3,DDR4,8 GB,SSD,256 GB,36990
RedmiBook,MAC ,Intel Core i5,DDR4,8 GB,SSD,512 GB,39990
MSI,Windows 10,Intel Core i5,DDR4,8 GB,HDD,1 TB,62190
ASUS,MAC ,Intel Celeron Dual Core,LPDDR4,4 GB,SSD,512 GB,24390
ASUS,MAC ,AMD Ryzen 9 Octa Core,DDR5,16 GB,SSD,1 TB,196990
Lenovo,Windows 11,AMD Ryzen 5 Quad Core,DDR4,8 GB,EMMC,64 GB,38705
Lenovo,Windows 11,Intel Core i3,DDR4,8 GB,HDD,1 TB,36990
HP,Windows 10,AMD Ryzen 7 Octa Core,DDR4,16 GB,SSD,1 TB,159990
ASUS,Windows 11,Intel Core i3,DDR4,4 GB,SSD,256 GB,34490
ASUS,MAC ,AMD Ryzen 9 Octa Core,DDR4,16 GB,SSD,512 GB,99990
ASUS,MAC ,AMD Ryzen 7 Octa Core,DDR4,16 GB,SSD,1 TB,85990
Lenovo,Windows 11,AMD Ryzen 3 Dual Core,DDR4,8 GB,SSD,512 GB,35590
ASUS,Windows 11,Intel Core i5,LPDDR4X,8 GB,SSD,512 GB,79990
Infinix,Windows 11,Intel Celeron Quad Core,LPDDR4X,4 GB,SSD,128 GB,20990
ASUS,MAC ,AMD Ryzen 9 Octa Core,DDR4,16 GB,SSD,1 TB,150990
Lenovo,Windows 11,Intel Core i3,DDR4,8 GB,SSD,512 GB,39990
HP,Windows 11,Intel Core i3,DDR4,8 GB,HDD,1 TB,41490
DELL,MAC ,AMD Ryzen 7 Octa Core,DDR5,16 GB,SSD,1 TB,206581
ASUS,MAC ,AMD Ryzen 5 Hexa Core,DDR4,8 GB,SSD,512 GB,59990
Acer,Windows 11,Intel Core i5,DDR4,16 GB,SSD,512 GB,62990
ASUS,Windows 11,AMD Ryzen 9 Octa Core,DDR5,16 GB,SSD,1 TB,194990
Lenovo,Windows 11,AMD Ryzen 5 Hexa Core,DDR4,8 GB,SSD,512 GB,44990
ASUS,Windows 11,AMD Ryzen 9 Octa Core,DDR5,16 GB,SSD,1 TB,194990
ASUS,MAC ,AMD Ryzen 5 Hexa Core,DDR4,8 GB,HDD,1 TB,62990
RedmiBook,MAC ,Intel Core i5,DDR4,8 GB,SSD,512 GB,39990
ASUS,MAC ,AMD Ryzen 9 Octa Core,DDR5,16 GB,SSD,1 TB,196990
Lenovo,Windows 10,AMD Ryzen 5 Hexa Core,DDR4,8 GB,SSD,512 GB,61990
ASUS,MAC ,AMD Ryzen 7 Octa Core,DDR5,16 GB,SSD,1 TB,105990
Acer,Windows 11,Intel Core i7,DDR5,16 GB,SSD,1 TB,155490
Ultimus,MAC ,Intel Celeron Dual Core,LPDDR4,4 GB,SSD,128 GB,19990
Lenovo,Windows 11,AMD Ryzen 5 Quad Core,DDR4,8 GB,SSD,512 GB,38705
ASUS,MAC ,AMD Ryzen 7 Octa Core,DDR4,16 GB,SSD,1 TB,85990
Lenovo,Windows 10,Intel Core i3,DDR4,4 GB,HDD,1 TB,33499
Infinix,Windows 11,Intel Core i5,LPDDR4X,8 GB,SSD,512 GB,42990
Lenovo,Windows 11,AMD Ryzen 3 Dual Core,DDR4,8 GB,SSD,512 GB,35590
ASUS,MAC ,AMD Ryzen 9 Octa Core,DDR4,16 GB,SSD,1 TB,150990
HP,Windows 11,Intel Core i5,DDR4,8 GB,SSD,512 GB,63990
Acer,Windows 11,Intel Core i9,DDR4,16 GB,SSD,1 TB,124990
ASUS,Windows 11,Intel Celeron Dual Core,DDR4,4 GB,SSD,512 GB,21990
Lenovo,Windows 10,Intel Celeron Dual Core,DDR4,4 GB,SSD,256 GB,30100
Lenovo,Windows 11,Intel Core i3,DDR4,8 GB,EMMC,64 GB,36990
Lenovo,Windows 11,Intel Core i3,DDR4,8 GB,SSD,512 GB,39990
HP,Windows 11,Intel Core i7,DDR5,32 GB,SSD,1 TB,199990
Acer,Windows 11,Intel Core i5,DDR4,8 GB,HDD,1 TB,61130
ASUS,Windows 11,AMD Ryzen 9 Octa Core,DDR5,16 GB,SSD,1 TB,194990
Lenovo,Windows 11,AMD Ryzen 5 Hexa Core,DDR4,8 GB,SSD,512 GB,44990
Lenovo,MAC ,Intel Core i3,DDR4,8 GB,HDD,1 TB,40990
ASUS,Windows 10,Intel Core i5,DDR4,8 GB,SSD,1 TB,75990
HP,Windows 11,Intel Core i3,DDR4,8 GB,SSD,512 GB,46890
Lenovo,Windows 11,Intel Core i3,DDR4,8 GB,SSD,256 GB,37390
Lenovo,Windows 11,Intel Core i3,DDR4,8 GB,SSD,256 GB,36990
Lenovo,Windows 11,Intel Core i3,DDR4,8 GB,SSD,512 GB,39990
Lenovo,Windows 11,Intel Core i5,DDR4,16 GB,SSD,512 GB,68490
ASUS,Windows 11,Intel Celeron Dual Core,DDR4,4 GB,SSD,512 GB,19990
RedmiBook,MAC ,Intel Core i5,DDR4,8 GB,SSD,512 GB,39990
ASUS,MAC ,AMD Ryzen 9 Octa Core,DDR5,16 GB,EMMC,64 GB,196990
ASUS,MAC ,Intel Core i7,DDR4,16 GB,SSD,512 GB,89990
DELL,MAC ,Intel Core i5,DDR4,8 GB,SSD,512 GB,59790
MSI,Windows 11,Intel Core i9,DDR4,16 GB,SSD,1 TB,125990
ASUS,Windows 11,AMD Ryzen 7 Octa Core,DDR5,32 GB,SSD,2 TB,249990
Lenovo,Windows 11,AMD Ryzen 5 Quad Core,DDR4,8 GB,SSD,512 GB,38705
ASUS,MAC ,AMD Ryzen 7 Octa Core,DDR4,16 GB,SSD,1 TB,85990
ASUS,Windows 11,AMD Ryzen 7 Octa Core,DDR5,16 GB,SSD,1 TB,149990
DELL,Windows 11,Intel Pentium Quad Core,DDR4,8 GB,SSD,256 GB,36990
Lenovo,Windows 11,AMD Ryzen 3 Dual Core,DDR4,8 GB,SSD,512 GB,35590
ASUS,MAC ,AMD Ryzen 9 Octa Core,DDR4,16 GB,SSD,1 TB,150990
ASUS,Windows 10,Intel Core i5,DDR4,16 GB,SSD,512 GB,85990
HP,Windows 10,AMD Ryzen 7 Octa Core,DDR4,8 GB,SSD,512 GB,60990
DELL,Windows 11,Intel Core i5,DDR5,8 GB,SSD,512 GB,87900
DELL,Windows 11,Intel Pentium Quad Core,DDR4,8 GB,SSD,256 GB,36990
ASUS,Windows 11,AMD Ryzen 7 Octa Core,DDR5,32 GB,SSD,2 TB,249990
ASUS,Windows 11,AMD Ryzen 7 Octa Core,DDR5,16 GB,SSD,1 TB,149990
RedmiBook,MAC ,Intel Core i5,DDR4,8 GB,SSD,512 GB,39990
HP,Windows 11,AMD Ryzen 3 Dual Core,DDR4,8 GB,HDD,1 TB,28999
DELL,Windows 11,Intel Core i5,DDR5,8 GB,SSD,512 GB,87900
Acer,MAC ,Intel Core i7,DDR4,16 GB,HDD,1 TB,117990
Lenovo,Windows 11,AMD Ryzen 5 Quad Core,DDR4,8 GB,SSD,512 GB,38705
ASUS,Windows 10,Intel Core i5,DDR4,16 GB,SSD,512 GB,85990
DELL,Windows 11,Intel Core i5,DDR4,8 GB,HDD,1 TB,61497
HP,Windows 11,AMD Ryzen 5 Hexa Core,DDR4,8 GB,SSD,512 GB,70400
ASUS,MAC ,AMD Ryzen 9 Octa Core,DDR5,16 GB,SSD,1 TB,196990
Lenovo,MAC ,Intel Core i5,DDR4,16 GB,SSD,512 GB,69000
Lenovo,Windows 11,AMD Ryzen 5 Hexa Core,DDR4,8 GB,SSD,512 GB,64490
ASUS,Windows 11,AMD Ryzen 7 Octa Core,DDR5,16 GB,SSD,1 TB,149990
ASUS,MAC ,AMD Ryzen 7 Octa Core,DDR4,16 GB,SSD,1 TB,85990
HP,Windows 11,AMD Ryzen 5 Hexa Core,DDR5,8 GB,SSD,512 GB,96579
DELL,Windows 11,Intel Core i7,DDR4,16 GB,SSD,512 GB,101990
ASUS,MAC ,Intel Core i7,DDR4,16 GB,SSD,512 GB,89990
Lenovo,Windows 11,AMD Ryzen 3 Dual Core,DDR4,8 GB,SSD,512 GB,35590
HP,Windows 11,AMD Ryzen 7 Octa Core,DDR5,8 GB,SSD,512 GB,94990
MSI,Windows 11,Intel Core i7,DDR5,32 GB,SSD,2 TB,314990
DELL,MAC ,Intel Core i3,DDR4,8 GB,HDD,1 TB,46900
ASUS,MAC ,AMD Ryzen 9 Octa Core,DDR4,16 GB,SSD,1 TB,150990
Lenovo,Windows 11,Intel Core i3,DDR4,8 GB,SSD,256 GB,36990
Lenovo,Windows 11,Intel Core i3,DDR4,8 GB,SSD,512 GB,39990
ASUS,Windows 11,Intel Core i9,DDR5,32 GB,SSD,2 TB,331990
DELL,Windows 11,Intel Core i7,DDR5,16 GB,SSD,1 TB,116490
HP,MAC ,AMD Ryzen 3 Hexa Core,DDR4,8 GB,SSD,512 GB,64590
DELL,Windows 11,Intel Core i7,DDR5,16 GB,SSD,1 TB,137990
RedmiBook,MAC ,Intel Core i5,DDR4,8 GB,SSD,512 GB,39990
ASUS,MAC ,AMD Ryzen 9 Octa Core,DDR5,16 GB,SSD,1 TB,196990
DELL,Windows 10,Intel Core i5,DDR4,8 GB,SSD,512 GB,55690
Lenovo,Windows 10,Intel Core i7,DDR4,16 GB,SSD,512 GB,109990
Lenovo,Windows 11,AMD Ryzen 5 Quad Core,DDR4,8 GB,SSD,512 GB,38705
ASUS,MAC ,AMD Ryzen 7 Octa Core,DDR4,16 GB,SSD,1 TB,85990
ASUS,MAC ,Intel Core i7,DDR4,8 GB,HDD,1 TB,79990
ASUS,Windows 11,AMD Ryzen 9 Octa Core,DDR4,16 GB,SSD,1 TB,130500
ASUS,Windows 11,AMD Ryzen 9 Octa Core,DDR5,32 GB,SSD,2 TB,361990
ASUS,MAC ,AMD Ryzen 9 Octa Core,DDR5,16 GB,SSD,1 TB,211990
Lenovo,Windows 11,AMD Ryzen 3 Dual Core,DDR4,8 GB,SSD,512 GB,35590
ASUS,MAC ,AMD Ryzen 9 Octa Core,DDR4,16 GB,SSD,1 TB,150990
DELL,Windows 10,Intel Core i3,DDR4,4 GB,SSD,256 GB,39890
MSI,Windows 11,Intel Core i7,DDR4,16 GB,SSD,1 TB,139990
Lenovo,Windows 11,AMD Ryzen 7 Octa Core,DDR4,8 GB,SSD,512 GB,73490
ASUS,Windows 11,AMD Ryzen 9 Octa Core,DDR5,16 GB,SSD,1 TB,194990
MSI,Windows 10,Intel Core i7,DDR4,16 GB,HDD,1 TB,99990
HP,Windows 10,Intel Core i5,DDR4,16 GB,SSD,512 GB,66700
DELL,Windows 10,Intel Core i5,DDR4,8 GB,HDD,1 TB,68990
DELL,Windows 11,Intel Core i9,DDR4,32 GB,SSD,1 TB,434830
Lenovo,Windows 11,Intel Core i3,DDR4,8 GB,SSD,256 GB,36990
Lenovo,Windows 11,Intel Core i3,DDR4,8 GB,SSD,512 GB,39990
ALIENWARE,Windows 10,Intel Core i9,DDR4,32 GB,SSD,1 TB,345390
HP,Windows 11,Intel Core i7,DDR4,16 GB,SSD,512 GB,105822
RedmiBook,MAC ,Intel Core i5,DDR4,8 GB,SSD,512 GB,39990
ASUS,MAC ,AMD Ryzen 9 Octa Core,DDR5,16 GB,SSD,1 TB,196990
Lenovo,Chrome,Intel Celeron Dual Core,LPDDR4X,4 GB,SSD,512 GB,28490
Lenovo,Windows 10,Intel Core i5,DDR4,16 GB,SSD,512 GB,66990
Acer,Windows 11,Intel Core i5,DDR4,8 GB,SSD,512 GB,86999
ASUS,Windows 10,Intel Core i3,DDR4,8 GB,EMMC,128 GB,36990
Lenovo,Windows 11,AMD Ryzen 5 Quad Core,DDR4,8 GB,SSD,512 GB,38705
ASUS,MAC ,AMD Ryzen 7 Octa Core,DDR4,16 GB,SSD,1 TB,85990
Lenovo,Windows 11,Intel Celeron Dual Core,DDR4,4 GB,SSD,256 GB,23250
DELL,Windows 10,Intel Core i3,DDR4,8 GB,SSD,256 GB,42390
Lenovo,Windows 11,AMD Ryzen 3 Dual Core,DDR4,8 GB,SSD,512 GB,35590
ASUS,MAC ,AMD Ryzen 9 Octa Core,DDR4,16 GB,SSD,1 TB,150990
Lenovo,Windows 10,Intel Core i5,DDR4,8 GB,SSD,512 GB,58990
ASUS,Windows 10,Intel Core i7,DDR4,16 GB,SSD,1 TB,110990
Acer,Windows 10,Intel Core i5,DDR4,8 GB,HDD,1 TB,74590
DELL,Windows 11,AMD Ryzen 5 Hexa Core,DDR4,8 GB,SSD,512 GB,71990
ASUS,Windows 11,AMD Ryzen 9 Octa Core,DDR5,16 GB,SSD,1 TB,194990
Lenovo,Windows 11,AMD Ryzen 5 Hexa Core,DDR4,8 GB,SSD,512 GB,44990
Lenovo,Windows 10,Intel Core i5,DDR4,16 GB,SSD,512 GB,84990
ASUS,MAC ,AMD Ryzen 7 Octa Core,LPDDR5,16 GB,SSD,1 TB,119990
Lenovo,Windows 11,Intel Core i3,DDR4,8 GB,SSD,256 GB,36990
Lenovo,Windows 11,Intel Core i3,DDR4,8 GB,SSD,512 GB,39990
MSI,Windows 10,Intel Core i7,DDR4,32 GB,SSD,1 TB,214990
MSI,Windows 10,Intel Core i3,DDR4,8 GB,SSD,512 GB,48790
DELL,Windows 11,AMD Ryzen 7 Octa Core,DDR4,16 GB,SSD,512 GB,76000
ASUS,Windows 10,AMD Ryzen 9 Octa Core,LPDDR4X,32 GB,SSD,1 TB,224990
RedmiBook,MAC ,Intel Core i5,DDR4,8 GB,SSD,512 GB,39990
ASUS,MAC ,AMD Ryzen 9 Octa Core,DDR5,16 GB,SSD,1 TB,196990
Infinix,Windows 11,Intel Core i3,LPDDR4X,8 GB,SSD,512 GB,49990
ASUS,Windows 11,Intel Core i7,LPDDR5,16 GB,SSD,512 GB,164990
Lenovo,Windows 11,AMD Ryzen 5 Quad Core,DDR4,8 GB,SSD,512 GB,38705
ASUS,MAC ,AMD Ryzen 7 Octa Core,DDR4,16 GB,SSD,1 TB,85990
HP,Windows 11,AMD Ryzen 3 Dual Core,DDR4,8 GB,SSD,256 GB,31490
DELL,Windows 11,Intel Core i3,DDR4,8 GB,SSD,512 GB,48077
ASUS,MAC ,AMD Ryzen 9 Octa Core,DDR4,16 GB,SSD,1 TB,154990
ASUS,Windows 10,Intel Core i7,DDR4,32 GB,SSD,1 TB,224990
Lenovo,Windows 11,AMD Ryzen 3 Dual Core,DDR4,8 GB,SSD,512 GB,35590
ASUS,MAC ,AMD Ryzen 9 Octa Core,DDR4,16 GB,SSD,1 TB,150990
ASUS,Windows 10,Intel Core i5,DDR4,8 GB,HDD,1 TB,44990
ASUS,Windows 10,Intel Core i5,DDR4,8 GB,SSD,512 GB,65990
Lenovo,Windows 11,AMD Ryzen 7 Octa Core,DDR4,8 GB,SSD,512 GB,73490
ASUS,Windows 11,AMD Ryzen 9 Octa Core,DDR5,16 GB,SSD,1 TB,194990
ASUS,Windows 10,Intel Core i3,DDR4,8 GB,HDD,1 TB,31990
Lenovo,MAC ,Intel Core i3,DDR4,8 GB,SSD,256 GB,38980
HP,Windows 10,AMD Ryzen 5 Hexa Core,DDR4,8 GB,SSD,512 GB,68990
DELL,Windows 10,Intel Core i3,DDR4,8 GB,SSD,256 GB,43090
Lenovo,Windows 11,Intel Core i3,DDR4,8 GB,SSD,512 GB,39990
RedmiBook,MAC ,Intel Core i5,DDR4,8 GB,SSD,512 GB,39990
ASUS,MAC ,AMD Ryzen 9 Octa Core,DDR4,16 GB,SSD,1 TB,154990
ASUS,Windows 10,Intel Core i5,DDR4,8 GB,SSD,512 GB,65990
ASUS,MAC ,AMD Ryzen 9 Octa Core,DDR5,16 GB,SSD,1 TB,196990
Lenovo,Windows 11,AMD Ryzen 5 Quad Core,DDR4,8 GB,SSD,512 GB,38705
DELL,Windows 11,Intel Core i3,DDR4,8 GB,SSD,512 GB,49348
DELL,Windows 11,Intel Core i7,DDR5,16 GB,SSD,512 GB,221774
Lenovo,Windows 10,AMD Ryzen 5 Hexa Core,DDR4,8 GB,SSD,512 GB,73990
DELL,Windows 11,AMD Ryzen 7 Octa Core,DDR4,16 GB,SSD,512 GB,77990
ASUS,MAC ,AMD Ryzen 7 Octa Core,DDR4,16 GB,SSD,1 TB,85990
Lenovo,Windows 11,AMD Ryzen 3 Dual Core,DDR4,8 GB,SSD,512 GB,35590
ALIENWARE,Windows 10,Intel Core i7,DDR4,16 GB,SSD,1 TB,214790
ALIENWARE,Windows 10,Intel Core i7,DDR4,16 GB,SSD,512 GB,199990
ASUS,MAC ,AMD Ryzen 9 Octa Core,DDR4,16 GB,SSD,1 TB,150990
Lenovo,Windows 11,Intel Core i3,DDR4,8 GB,SSD,256 GB,36990
DELL,Windows 11,Intel Core i3,DDR4,8 GB,SSD,512 GB,48077
DELL,Windows 11,AMD Ryzen 5 Hexa Core,DDR4,8 GB,SSD,512 GB,52414
ASUS,Windows 11,Intel Core i7,DDR5,16 GB,SSD,1 TB,179990
ASUS,MAC ,Intel Celeron Dual Core,LPDDR4,4 GB,SSD,512 GB,25990
Lenovo,Windows 11,Intel Core i3,DDR4,8 GB,SSD,256 GB,36990
Lenovo,Windows 11,Intel Core i3,DDR4,8 GB,SSD,512 GB,39990
DELL,Windows 11,Intel Core i5,DDR4,16 GB,EMMC,64 GB,80615
ASUS,Windows 11,AMD Ryzen 7 Octa Core,DDR5,16 GB,SSD,1 TB,155990
RedmiBook,MAC ,Intel Core i5,DDR4,8 GB,SSD,512 GB,39990
ASUS,MAC ,AMD Ryzen 9 Octa Core,DDR5,16 GB,SSD,1 TB,196990
Infinix,Windows 11,Intel Core i7,LPDDR4X,16 GB,SSD,512 GB,49990
Lenovo,Windows 11,Intel Core i7,DDR4,16 GB,SSD,1 TB,157990
ASUS,MAC ,Intel Core i5,DDR5,16 GB,SSD,512 GB,92990
ASUS,Windows 11,AMD Ryzen 7 Octa Core,DDR5,16 GB,SSD,1 TB,171990
Lenovo,Windows 11,AMD Ryzen 5 Quad Core,DDR4,8 GB,SSD,512 GB,38705
ASUS,MAC ,AMD Ryzen 7 Octa Core,DDR4,16 GB,SSD,1 TB,85990
ASUS,Windows 10,Intel Core i5,DDR4,8 GB,HDD,1 TB,44990
ASUS,MAC ,AMD Ryzen 9 Octa Core,LPDDR5,16 GB,SSD,1 TB,151990
Lenovo,Windows 11,AMD Ryzen 3 Dual Core,DDR4,8 GB,SSD,512 GB,35590
ASUS,MAC ,AMD Ryzen 9 Octa Core,DDR4,16 GB,SSD,1 TB,150990
ASUS,Windows 10,Intel Core i7,LPDDR3,16 GB,SSD,2 TB,233990
DELL,Windows 11,Intel Core i5,DDR5,16 GB,SSD,512 GB,76590
HP,Windows 10,AMD Ryzen 7 Octa Core,DDR4,16 GB,SSD,512 GB,90000
ASUS,MAC ,Intel Celeron Dual Core,LPDDR4,4 GB,SSD,512 GB,23490
Lenovo,Windows 11,AMD Ryzen 7 Octa Core,DDR4,8 GB,SSD,512 GB,73490
ASUS,Windows 11,AMD Ryzen 9 Octa Core,DDR5,16 GB,SSD,1 TB,194990
ASUS,Windows 11,Intel Core i7,LPDDR5,16 GB,EMMC,64 GB,125990
Lenovo,Windows 10,Intel Core i5,DDR4,8 GB,HDD,1 TB,50990
